Windows Explorer|2017-01-18|10:05:02|2017-01-18|10:05:13|0:00:11|Windows Explorer|Applications|0|24
Task Scheduler|2017-01-18|10:05:13|2017-01-18|10:05:41|0:00:28|Task Scheduler|Applications|0|24
Client Properties (Local Computer)|2017-01-18|10:05:41|2017-01-18|10:05:47|0:00:06|Client Properties (Local Computer)|Applications|0|24
Edit Trigger|2017-01-18|10:05:47|2017-01-18|10:05:53|0:00:06|Edit Trigger|Applications|0|24
Task Scheduler|2017-01-18|10:05:53|2017-01-18|10:08:14|0:02:21|Task Scheduler|Applications|0|24
Libraries|2017-01-18|10:08:14|2017-01-18|10:08:30|0:00:16|Windows Explorer|Applications|0|24
Computer|2017-01-18|10:08:30|2017-01-18|10:08:35|0:00:05|Windows Explorer|Applications|0|24
Program Files (x86)|2017-01-18|10:08:35|2017-01-18|10:08:46|0:00:11|Windows Explorer|Applications|0|24
Confirm Attribute Changes|2017-01-18|10:08:46|2017-01-18|10:08:54|0:00:08|Windows Explorer|Applications|0|24
Program Files (x86)|2017-01-18|10:08:54|2017-01-18|10:09:03|0:00:09|Windows Explorer|Applications|0|24
Folder Options|2017-01-18|10:09:03|2017-01-18|10:09:15|0:00:12|Windows Explorer|Applications|0|24
Task Scheduler|2017-01-18|10:09:15|2017-01-18|10:14:05|0:04:50|Task Scheduler|Applications|0|24
Start menu|2017-01-18|10:14:05|2017-01-18|10:14:19|0:00:14|Windows Explorer|Applications|0|24
cmd.exe|2017-01-18|10:14:19|2017-01-18|10:15:05|0:00:46|Windows Command Processor|Applications|1|24
Windows Explorer|2017-01-18|10:15:05|2017-01-18|10:15:12|0:00:07|Windows Explorer|Applications|0|24
Inicio.cmd - Notepad|2017-01-18|10:15:12|2017-01-18|10:15:20|0:00:08|Notepad|Applications|1|24
Program Manager|2017-01-18|10:15:20|2017-01-18|10:16:12|0:00:52|Windows Explorer|Applications|0|24
Inicio.cmd|2017-01-18|10:15:12|2017-01-18|10:15:20|0:00:08|Inicio.cmd|Documents|1|24
Start menu|2017-01-18|10:16:12|2017-01-18|10:16:18|0:00:06|Windows Explorer|Applications|0|24
cmd.exe|2017-01-18|10:16:18|2017-01-18|10:16:24|0:00:06|Windows Command Processor|Applications|1|24
Task Scheduler|2017-01-18|10:16:24|2017-01-18|10:17:50|0:01:26|Task Scheduler|Applications|0|24
cmd.exe|2017-01-18|10:17:50|2017-01-18|10:17:58|0:00:08|Windows Command Processor|Applications|1|24
Program Files (x86)|2017-01-18|10:17:58|2017-01-18|10:18:25|0:00:27|Windows Explorer|Applications|0|24
MTB|2017-01-18|10:18:25|2017-01-18|10:18:32|0:00:07|Windows Explorer|Applications|0|24
end.cmd - Notepad|2017-01-18|10:18:32|2017-01-18|10:18:37|0:00:05|Notepad|Applications|1|24
Task Scheduler|2017-01-18|10:18:37|2017-01-18|10:18:44|0:00:07|Task Scheduler|Applications|0|24
MTB|2017-01-18|10:18:44|2017-01-18|10:19:12|0:00:28|Windows Explorer|Applications|0|24
end.cmd|2017-01-18|10:18:32|2017-01-18|10:18:37|0:00:05|end.cmd|Documents|1|24
cmd.exe|2017-01-18|10:19:12|2017-01-18|10:19:28|0:00:16|Windows Command Processor|Applications|1|24
end.cmd|2017-01-18|10:19:28|2017-01-18|10:19:34|0:00:06|Windows Command Processor|Applications|1|24
cmd.exe|2017-01-18|10:19:34|2017-01-18|10:19:40|0:00:06|Windows Command Processor|Applications|1|24
Task Scheduler|2017-01-18|10:19:40|2017-01-18|10:20:17|0:00:37|Task Scheduler|Applications|0|24
Windows Explorer|2017-01-18|10:20:17|2017-01-18|10:20:23|0:00:06|Windows Explorer|Applications|0|24
Start menu|2017-01-18|10:20:23|2017-01-18|10:20:32|0:00:09|Windows Explorer|Applications|0|24
Windows Explorer|2017-01-18|10:20:32|2017-01-18|10:20:42|0:00:10|Windows Explorer|Applications|0|24
Task Scheduler|2017-01-18|10:20:42|2017-01-18|10:21:48|0:01:06|Task Scheduler|Applications|0|24
Client Properties (Local Computer)|2017-01-18|10:21:48|2017-01-18|10:22:12|0:00:24|Client Properties (Local Computer)|Applications|0|24
Open|2017-01-18|10:22:12|2017-01-18|10:22:21|0:00:09|Open|Applications|0|24
Task Scheduler|2017-01-18|10:22:21|2017-01-18|10:22:26|0:00:05|Task Scheduler|Applications|0|24
Client Properties (Local Computer)|2017-01-18|10:22:26|2017-01-18|10:22:31|0:00:05|Client Properties (Local Computer)|Applications|0|24
Task Scheduler|2017-01-18|10:22:31|2017-01-18|10:22:50|0:00:19|Task Scheduler|Applications|0|24
Computer|2017-01-18|10:22:50|2017-01-18|10:22:56|0:00:06|Windows Explorer|Applications|0|24
Program Files (x86)|2017-01-18|10:22:56|2017-01-18|10:23:09|0:00:13|Windows Explorer|Applications|0|24
end.cmd - Notepad|2017-01-18|10:23:09|2017-01-18|10:23:24|0:00:15|Notepad|Applications|1|24
cmd.exe|2017-01-18|10:23:24|2017-01-18|10:23:59|0:00:35|Windows Command Processor|Applications|1|24
Task Scheduler|2017-01-18|10:23:59|2017-01-18|10:24:14|0:00:15|Task Scheduler|Applications|0|24
end.cmd|2017-01-18|10:23:09|2017-01-18|10:23:24|0:00:15|end.cmd|Documents|1|24
Windows Explorer|2017-01-18|10:24:14|2017-01-18|10:24:21|0:00:07|Windows Explorer|Applications|0|24
Untitled - Paint|2017-01-18|10:24:21|2017-01-18|10:24:30|0:00:09|Paint|Applications|0|24
MTB|2017-01-18|10:24:30|2017-01-18|10:24:35|0:00:05|Windows Explorer|Applications|0|24
Start menu|2017-01-18|10:24:35|2017-01-18|10:24:41|0:00:06|Windows Explorer|Applications|0|24
Windows Explorer|2017-01-18|10:24:41|2017-01-18|10:24:44|0:00:03|Windows Explorer|Applications|0|24
Untitled|2017-01-18|10:24:21|2017-01-18|10:24:30|0:00:09|Untitled|Documents|0|24
Windows Explorer|2017-01-18|10:28:49|2017-01-18|10:29:01|0:00:12|Windows Explorer|Applications|0|24
Task Scheduler|2017-01-18|10:29:01|2017-01-18|10:30:37|0:01:36|Task Scheduler|Applications|0|24
Windows Explorer|2017-01-18|10:30:37|2017-01-18|10:31:16|0:00:39|Windows Explorer|Applications|0|24
Program Manager|2017-01-18|10:31:16|2017-01-18|10:44:16|0:13:00|Windows Explorer|Applications|0|24
Windows Explorer|2017-01-18|10:44:16|2017-01-18|10:44:28|0:00:12|Windows Explorer|Applications|0|24
Please wait while the application opens|2017-01-18|10:44:28|2017-01-18|10:45:01|0:00:33|ManicTime|Applications|0|24
Program Manager|2017-01-18|10:45:01|2017-01-18|10:45:35|0:00:34|Windows Explorer|Applications|0|24
Windows Explorer|2017-01-18|10:45:35|2017-01-18|10:46:10|0:00:35|Windows Explorer|Applications|0|24
ManicTime|2017-01-18|10:46:10|2017-01-18|10:46:15|0:00:05|ManicTime|Applications|0|24
ManicTime - STANDARD|2017-01-18|10:46:15|2017-01-18|10:46:45|0:00:30|ManicTime|Applications|0|24
Windows Explorer|2017-01-18|11:03:29|2017-01-18|11:04:37|0:01:08|Windows Explorer|Applications|0|24
ManicTime - STANDARD|2017-01-18|11:04:37|2017-01-18|11:04:43|0:00:06|ManicTime|Applications|0|24
